2025-11-07 13:57:20 [INFO] (camera_logger_20251107_135719): Camera session ready with label: ses_2025-11-07T13:56:15.815Z
2025-11-07 13:57:20 [INFO] (camera_logger_20251107_135719): Camera session ready with label: ses_2025-11-07T13:56:27.537Z
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['recorded_at', 'frame_idx', 'marker_id', 'rvec_x', 'rvec_y', 'rvec_z', 'tvec_x', 'tvec_y', 'tvec_z', 'image_path']
2025-11-07 13:57:36 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523856.677721', '19', '2', '3.103653149412456', '-0.0013051675208774185', '-0.3348395964469497', '0.07938384196119307', '0.08198907852451044', '1.1582590599901252', 'data/sessions/aruco_session_20251107_075734/frames/f000019.jpg']
2025-11-07 13:57:36 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523856.769386', '20', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000020.jpg']
2025-11-07 13:57:36 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523856.861130', '21', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000021.jpg']
2025-11-07 13:57:36 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523856.952968', '22', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000022.jpg']
2025-11-07 13:57:36 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523857.044141', '23', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000023.jpg']
2025-11-07 13:57:36 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523857.136353', '24', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000024.jpg']
2025-11-07 13:57:37 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523857.227232', '25', '2', '3.103653149412456', '-0.0013051675208774185', '-0.3348395964469497', '0.07938384196119307', '0.08198907852451044', '1.1582590599901252', 'data/sessions/aruco_session_20251107_075734/frames/f000025.jpg']
2025-11-07 13:57:37 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523857.319674', '26', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000026.jpg']
2025-11-07 13:57:37 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523857.412449', '27', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000027.jpg']
2025-11-07 13:57:37 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523857.505073', '28', '2', '3.103653149412456', '-0.0013051675208774185', '-0.3348395964469497', '0.07938384196119307', '0.08198907852451044', '1.1582590599901252', 'data/sessions/aruco_session_20251107_075734/frames/f000028.jpg']
