2025-11-07 13:52:19 [INFO] (imu_logger_20251107_135219): IMU session ready with label: ses_2025-11-07T13:52:20.087Z
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613190', '-0.015625', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '16.6875', '76.9375', '57.625', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613202', '-0.015625', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.6875', '77.8125', '59.3125', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613207', '-0.015625', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.6875', '77.8125', '59.3125', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613223', '-0.015625', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '77.75', '58.5', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613229', '-0.015625', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '17.0625', '77.75', '58.5', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613240', '-0.015625', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '16.75', '78.5625', '59.375', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613250', '0.0234375', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '16.0', '77.3125', '57.3125', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613261', '0.0234375', '-0.01171875', '0.046875', '0.0', '0.0', '0.0', '16.375', '78.125', '58.5', '178.2172886679631', '1.3971633396630545', '-6.566106764566269']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613269', '0.0234375', '-0.01171875', '0.046875', '0.0', '0.0', '0.0', '16.375', '78.125', '58.5', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613280', '-0.015625', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '16.75', '78.875', '58.5625', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613290', '-0.015625', '0.02734375', '0.0078125', '0.0', '0.0', '0.0', '16.75', '78.875', '58.5625', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613301', '0.0234375', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '17.6875', '77.8125', '58.9375', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613309', '0.0234375', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '17.6875', '77.8125', '58.9375', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613322', '-0.015625', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '16.0', '78.125', '59.375', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613330', '-0.015625', '-0.01171875', '0.046875', '0.0', '0.0', '0.0', '16.0', '78.125', '59.375', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613340', '-0.015625', '-0.01171875', '0.046875', '0.0', '0.0', '0.0', '17.375', '77.0', '59.3125', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613349', '-0.015625', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.4375', '77.75', '58.5', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613362', '0.0234375', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '17.75', '78.5625', '58.875', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613367', '0.0234375', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '17.75', '78.5625', '58.875', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613380', '-0.015625', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '18.375', '77.0', '57.625', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613389', '-0.015625', '-0.01171875', '-0.03125', '0.11190581936148891', '0.22381163872297782', '0.0', '16.3125', '77.375', '59.3125', '178.21688674874858', '1.4041445686978002', '-6.566220323515832']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613400', '-0.015625', '-0.01171875', '-0.03125', '0.0', '0.22381163872297782', '0.11190581936148891', '16.3125', '77.375', '59.3125', '178.21688674874858', '1.4041445686978002', '-6.566220323515832']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613410', '-0.015625', '-0.01171875', '-0.03125', '-0.11190581936148891', '-0.11190581936148891', '0.11190581936148891', '16.0', '76.875', '56.8125', '178.21696609709383', '1.4042581136738412', '-6.559236978945826']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613419', '-0.015625', '-0.01171875', '-0.03125', '-0.11190581936148891', '0.11190581936148891', '-0.11190581936148891', '16.0', '76.875', '56.8125', '178.21696609709383', '1.4042581136738412', '-6.559236978945826']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613432', '-0.015625', '0.02734375', '-0.03125', '0.11190581936148891', '-0.33571745808446674', '0.0', '17.4375', '77.8125', '58.875', '178.21696609709383', '1.4042581136738412', '-6.559236978945826']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613439', '-0.015625', '0.02734375', '-0.03125', '-0.11190581936148891', '-0.22381163872297782', '0.0', '17.4375', '77.8125', '58.875', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613449', '0.0234375', '-0.01171875', '-0.03125', '-0.11190581936148891', '0.11190581936148891', '-0.11190581936148891', '17.4375', '77.8125', '58.875', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613462', '-0.015625', '-0.01953125', '0.0078125', '0.11190581936148891', '0.11190581936148891', '-0.22381163872297782', '17.0625', '78.125', '58.5', '178.2173675922017', '1.397276835874167', '-6.559123428845428']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613469', '0.0234375', '-0.01953125', '0.0078125', '-0.33571745808446674', '0.11190581936148891', '-0.11190581936148891', '17.0625', '78.125', '58.5', '178.21696609709383', '1.4042581136738412', '-6.559236978945826']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613480', '0.0234375', '-0.01953125', '0.0078125', '-0.11190581936148891', '0.22381163872297782', '0.0', '16.625', '75.875', '57.625', '178.21704545983792', '1.4043716497708363', '-6.552253585282297']
